episode,reward,smoothed_reward
1,-2211.377046670246,-2211.377046670246
2,-1985.325045840604,-2166.1666465043177
3,-1916.2903712011635,-2116.191391443687
4,-2253.596800923172,-2143.672473339584
5,-2568.318788892751,-2228.6017364502177
6,-1593.273959767079,-2101.53618111359
7,-2002.0961824190695,-2081.648181374686
8,-2019.4858725417164,-2069.215719608092
9,-2165.9332496843253,-2088.559225623339
10,-2170.2435015799592,-2104.896080814663
11,-2067.1758079084275,-2097.352026233416
12,-2535.808890025458,-2185.0433989918242
13,-1708.6643219251548,-2089.7675835784903
14,-2593.9622165053866,-2190.6065101638696
15,-1841.1557488451651,-2120.716357900129
16,-2569.128909551672,-2210.398868230438
17,-1708.1941072948214,-2109.957916043315
18,-1726.7029149617165,-2033.3069158269955
19,-2452.4212391789974,-2117.129780497396
20,-1942.6021290111587,-2082.2242502001486
21,-2136.336577054791,-2093.046715571077
22,-2184.7059909051222,-2111.3785706378862
23,-1885.154415476181,-2066.133739605545
24,-2177.310748005927,-2088.3691412856215
25,-2039.7133688156382,-2078.637986791625
26,-2019.5763435663985,-2066.82565814658
27,-2055.752418459854,-2064.611010209235
28,-1985.78350748227,-2048.8455096638418
29,-1782.445079501412,-1995.5654236313558
30,-1919.2705955328838,-1980.3064580116613
31,-1963.5027909822554,-1976.9457246057802
32,-1773.3923354597614,-1936.2350467765766
33,-1604.5989002956246,-1869.9078174803863
34,-2003.865170153726,-1896.6992880150544
35,-1676.4094651523958,-1852.6413234425227
36,-1810.1682856785162,-1844.1467158897217
37,-1923.9976183821977,-1860.116896388217
38,-2024.258880429778,-1892.9452931965293
39,-1690.967028978611,-1852.549640352946
40,-1749.1505204894981,-1831.8698163802567
41,-1637.5321996308244,-1793.0022930303703
42,-1527.3560355156487,-1739.873041527426
43,-2134.96262800421,-1818.890958822783
44,-1541.8294197237458,-1763.4786510029755
45,-1510.7084347292985,-1712.92460774824
46,-1994.82318101264,-1769.30432240112
47,-1684.5729008899489,-1752.358038098886
48,-1773.7269796138114,-1756.6318264018712
49,-1904.787933668086,-1786.2630478551143
50,-2106.4425051396283,-1850.2989393120174
51,-1726.8850084684318,-1825.6161531433004
52,-1683.143529307041,-1797.1216283760486
53,-1591.529401188452,-1756.0031829385293
54,-1813.118052172247,-1767.426156785273
55,-1372.0917430688387,-1688.3592740419863
56,-1878.651311873645,-1726.4176816083182
57,-1783.4465900089897,-1737.8234632884526
58,-2159.8682323986795,-1822.232417110498
59,-1488.2577290250147,-1755.4374794934015
60,-1819.8069836187033,-1768.311380318462
61,-1737.3208486823607,-1762.1132739912418
