episode,step,waiting_time,co2_emission,throughput,reward,episode_reward,exploration_rate,q_table_size
0,0,0.0,35.07627926183951,0,4.961484208280309,4.961484208280309,0.768,1
0,10,488.0,90.45673055207237,0,-2.0948344076498433,24.89134523974026,0.768,7
0,20,989.0,146.50004246104984,10,-4.355148816855961,-22.062418839528743,0.768,15
0,30,1038.0,132.04679817991934,10,-2.406021251520303,-76.30980732090376,0.768,24
0,40,1657.0,125.99896227376026,8,-3.1736584538662105,-142.96910762028912,0.768,31
0,50,2975.0,160.01364390662172,6,-7.5550449488948015,-210.96815659690415,0.768,39
0,60,5184.0,157.3706146532978,4,-8.455026409910154,-292.8564952593549,0.768,43
0,70,6374.0,147.06396284710775,6,-8.298628650803783,-378.6861739932656,0.768,49
0,80,8219.0,150.72698733602252,0,-8.142030795888804,-459.5081179161753,0.768,56
0,90,10547.0,169.88856029256945,1,-9.119128602012017,-545.7521751702312,0.768,63
0,100,5400.0,156.13816055248654,8,-1.6684336877650738,-592.9002404760038,0.768,72
0,110,1180.0,160.93248096963248,8,0.23663141472643656,-609.1165020737029,0.768,81
0,120,2252.0,165.0921831479257,6,-2.292699516844188,-630.3657998383767,0.768,90
0,130,2957.0,154.3067461127963,9,-0.04070831706263334,-654.3053091746732,0.768,97
0,140,3229.0,179.7566643060295,0,-3.8790588088448987,-666.938401789998,0.768,103
0,150,1495.0,146.99974121224494,6,-1.7556021420646095,-680.0849674250136,0.768,113
0,160,1396.0,167.27241591214403,1,-2.0117292804644875,-673.9881711164592,0.768,121
0,170,3268.0,205.86508639016057,0,-3.863792830829415,-697.4720583623587,0.768,131
0,180,3880.0,223.00236160510968,0,-4.154767466365991,-732.8978202948635,0.768,141
0,190,5054.0,195.73977215204016,8,-4.389322217850635,-776.4839045041424,0.768,150
0,200,4331.0,199.87432357429392,4,-7.403802557210453,-820.7119807231803,0.768,159
0,210,5527.0,244.26719835427434,2,-9.33172894474452,-898.8006295141994,0.768,169
0,220,3899.0,226.3025452258788,8,-6.102867165208981,-954.9369326959361,0.768,175
0,230,4711.0,169.6327704709414,0,-7.440643415222276,-1015.635813168324,0.768,180
0,240,3117.0,133.46572342278583,8,-1.4562293800514854,-1075.0220163114107,0.768,187
0,250,1995.0,148.09227964939984,8,-0.7402007800806044,-1099.046548659591,0.768,194
0,260,1065.0,141.2554565683778,10,1.2630411209153678,-1096.9734865619214,0.768,201
0,270,2888.0,195.27933333333314,0,-5.190829141004759,-1120.7017399431154,0.768,208
0,280,4581.0,163.53502421900748,4,-5.573639088307491,-1180.3166443236878,0.768,214
0,290,7509.0,239.29223050252074,2,-9.211076144889514,-1268.2586938733539,0.768,221
0,300,7229.0,195.14285524147223,6,-8.417485670907979,-1347.3594009636734,0.768,230
0,310,8869.0,253.02573781289803,2,-9.267497564296129,-1433.913094499978,0.768,236
0,320,12632.0,250.57317573806648,2,-9.287517775688201,-1525.6912956317171,0.768,239
0,330,5683.0,203.80250974574156,10,-2.2522247988445536,-1578.6390098581103,0.768,248
0,340,2887.0,200.93258463875588,7,-1.5588527738367828,-1605.5632753837021,0.768,255
0,350,1622.0,185.8478926755058,8,-1.9396874043194874,-1615.7027494135825,0.768,264
0,360,2811.0,164.17118319399216,7,-1.1215965973628848,-1640.3782138342854,0.768,271
0,370,2814.0,181.23819204943442,8,-1.5755760300445116,-1653.2520348795852,0.768,281
0,380,2527.0,206.8911504121732,2,-3.6351520110112765,-1668.2979299698773,0.768,290
0,390,3637.0,229.10046937993235,9,-3.184680574744386,-1692.223683037628,0.768,298
0,400,5318.0,264.5711314554208,0,-5.320355272143775,-1728.1054926766597,0.768,306
0,410,4832.0,246.1278243109815,0,-4.48474030984795,-1765.254525747674,0.768,316
0,420,5238.0,248.18170404002308,2,-6.878929383516162,-1803.28230214119,0.768,326
0,430,3725.0,226.08759966803683,10,-5.698859816681904,-1874.7636996018778,0.768,336
0,440,6521.0,221.90469559009765,2,-9.000961554057476,-1957.2908197868667,0.768,343
0,450,3489.0,149.2967099701449,10,-1.7660824853305441,-2018.911449335839,0.768,350
0,460,3570.0,190.79588842916738,10,-2.9967841578091994,-2049.397805433123,0.768,358
0,470,775.0,127.46529013111946,8,0.4519327666767867,-2055.2082810017214,0.768,366
0,480,2382.0,150.04050745571405,0,-3.7448018230850404,-2077.3276549091875,0.768,370
0,490,1670.0,105.83878908351748,5,0.7200619440093492,-2088.0288209704036,0.768,378
